Holding,Ticker,Price,Quantity
IWM Index,IWM,125.65,3979
OFFICE DEPOT INC,ODP,9.37,902
BRUNSWICK CORP,BC,54.67,148
VAIL RESORTS INC.,MTN,104.2,61
JACK IN THE BOX INC.,JACK,91.91,69
DANA HOLDING CORP.,DAN,21.18,287
TENNECO INC.,TEN,56.48,103
BUFFALO WILD WINGS INC.,BWLD,177.8,32
AMERICAN EAGLE OUTFITTERS INC.,AEO,16.92,341
WOLVERINE WORLD WIDE INC.,WWW,32.22,174
POOL CORP.,POOL,68.91,76
LIFE TIME FITNESS INC.,LTM,71.45,69
UNITED NATURAL FOODS INC.,UNFI,69.8,76
TREEHOUSE FOODS INC.,THS,86.33,61
CASEYS GENERAL STORES INC.,CASY,87.75,58
SEMGROUP CORP. CL A,SEMG,84.77,110
DIAMONDBACK ENERGY INC,FANG,84.07,109
INVESTORS BANCORP INC,ISBC,11.94,512
LASALLE HOTEL PROPERTIES,LHO,37.48,161
HIGHWOODS PROPERTIES INC.,HIW,45.17,130
RLJ LODGING TRUST REIT,RLJ,30.77,191
FIRST AMERICAN FINANCIAL CORP.,FAF,36.23,153
CUBESMART,CUBE,23.15,234
PROSPERITY BANCSHARES INC,PB,52.95,99
CNO FINANCIAL GROUP INC.,CNO,17.83,291
STIFEL FINANCIAL CORP.,SF,53.94,94
MGIC INVESTMENT CORP,MTG,10.35,476
EPR PROPERTIES,EPR,59.17,82
MARKETAXESS HOLDINGS INC.,MKTX,88.72,54
SUNSTONE HOTEL INVESTORS INC.,SHO,16.33,295
RADIAN GROUP INC.,RDN,17.94,268
BANK OF THE OZARKS INC.,OZRK,39.85,120
SOVRAN SELF STORAGE INC.,SSS,90.67,51
WEBSTER FINANCIAL CORP.,WBS,35.78,130
STRATEGIC HOTELS & RESORTS INC.,BEE,11.94,392
FIRSTMERIT CORP.,FMER,19.425,238
PEBBLEBROOK HOTEL TRUST REIT,PEB,45.25,101
MEDICAL PROPERTIES TRUST REIT INC,MPW,14.69,308
GEO GROUP REIT INC,GEO,42.08,107
SUN COMMUNITIES INC.,SUI,63.13,70
ISIS PHARMACEUTICALS INC.,ISIS,65.16,126
PUMA BIOTECHNOLOGY INC,PBYI,228.2,27
DEXCOM INC.,DXCM,68.42,80
TEAM HEALTH HOLDINGS INC.,TMH,63.56,72
STERIS CORP.,STE,69.7,63
WEST PHARMACEUTICAL SERVICES INC.,WST,56.37,76
CEPHEID,CPHD,55.01,77
DYAX CORP.,DYAX,28.17,151
PAREXEL INTERNATIONAL CORP.,PRXL,69.55,61
HEALTHSOUTH CORP.,HLS,45.7,92
WELLCARE HEALTH PLANS INC.,WCG,82.51,51
NEUROCRINE BIOSCIENCES INC.,NBIX,42.95,93
IMPAX LABORATORIES INC.,IPXL,49.86,77
RECEPTOS INC,RCPT,169.87,22
AKORN INC.,AKRX,54.66,64
BLUEBIRD BIO INC,BLUE,131.67,26
PACIRA PHARMACEUTICALS INC.,PCRX,84.2,41
ACADIA HEALTHCARE CO INC,ACHC,71.65,46
JETBLUE AIRWAYS CORP.,JBLU,19.57,368
HEICO CORP.,HEI,59.48,99
TELEDYNE TECHNOLOGIES INC.,TDY,108.78,52
CURTISS-WRIGHT CORP.,CW,76.06,71
ESTERLINE TECHNOLOGIES CORP.,ESL,112.33,48
DELUXE CORP,DLX,68.05,74
GENERAC HOLDINGS INC.,GNRC,48.56,101
CLARCOR INC.,CLC,66.48,72
WOODWARD INC.,WWD,48.58,99
WATSCO INC.,WSO,122.95,38
MOOG INC. CL A,MOG.A,73.13,61
ENERSYS INC.,ENS,67.81,64
EMCOR GROUP INC.,EME,46.5,92
QUORVO INC,QRVO,72.01,145
ULTIMATE SOFTWARE GROUP INC.,ULTI,179.89,28
MAXIMUS INC.,MMS,65.98,71
COGNEX CORP.,CGNX,50.21,183
SS&C TECHNOLOGIES HOLDINGS INC.,SSNC,62.94,70
WEX INC.,WEX,109.99,40
CYPRESS SEMICONDUCTOR CORP.,CY,13.325,326
TYLER TECHNOLOGIES INC.,TYL,125.5,33
BELDEN INC.,BDC,94.17,45
MANHATTAN ASSOCIATES INC.,MANH,55.75,74
VERINT SYSTEMS INC.,VRNT,64.525,60
CAVIUM INC,CAVM,72.53,53
ASPEN TECHNOLOGY INC.,AZPN,40.92,93
GUIDEWIRE SOFTWARE INC,GWRE,52.32,71
FEI CO.,FEIC,73.72,47
MICROSEMI CORP.,MSCC,35.45,97
J2 GLOBAL INC,JCOM,69.75,48
SYNAPTICS INC.,SYNA,89.49,36
CIMPRESS NV,CMPR,85.74,36
QLIK TECHNOLOGIES INC.,QLIK,32.95,48
FAIR ISAAC CORP.,FICO,92.34,0
GRAPHIC PACKAGING HOLDING CO.,GPK,14.3,401
POLYONE CORP.,POL,38.66,107
SENSIENT TECHNOLOGIES CORP.,SXT,67.27,61
BERRY PLASTICS GROUP INC.,BERY,34.74,111
AXIALL CORP,AXLL,44.14,87
DYNEGY INC.,DYN,32.94,150
CLECO CORP.,CNL,54.59,79
IDACORP INC.,IDA,62.84,65
WGL HOLDINGS INC.,WGL,56.4,68
